,shutdown_id,house_uuid
0,217,cd93bf4b-960f-430d-9cae-6c13156f3a12
1,218,cd93bf4b-960f-430d-9cae-6c13156f3a12
2,219,cd93bf4b-960f-430d-9cae-6c13156f3a12
3,220,cd93bf4b-960f-430d-9cae-6c13156f3a12
4,221,cd93bf4b-960f-430d-9cae-6c13156f3a12
5,222,6eb528a5-6b82-423d-af96-3ec7b3b51727
6,223,bbfb0a22-cd6d-4604-a83f-a692c377624a
7,224,cd93bf4b-960f-430d-9cae-6c13156f3a12
8,225,cd93bf4b-960f-430d-9cae-6c13156f3a12
9,226,cd93bf4b-960f-430d-9cae-6c13156f3a12
10,227,cd93bf4b-960f-430d-9cae-6c13156f3a12
11,228,cd93bf4b-960f-430d-9cae-6c13156f3a12
12,229,cd93bf4b-960f-430d-9cae-6c13156f3a12
13,230,cd93bf4b-960f-430d-9cae-6c13156f3a12
14,231,cd93bf4b-960f-430d-9cae-6c13156f3a12
15,232,cd93bf4b-960f-430d-9cae-6c13156f3a12
16,233,cd93bf4b-960f-430d-9cae-6c13156f3a12
17,234,6eb528a5-6b82-423d-af96-3ec7b3b51727
18,235,cd93bf4b-960f-430d-9cae-6c13156f3a12
19,236,cd93bf4b-960f-430d-9cae-6c13156f3a12
20,237,cd93bf4b-960f-430d-9cae-6c13156f3a12
21,238,cd93bf4b-960f-430d-9cae-6c13156f3a12
22,239,cd93bf4b-960f-430d-9cae-6c13156f3a12
23,240,cd93bf4b-960f-430d-9cae-6c13156f3a12
24,241,cd93bf4b-960f-430d-9cae-6c13156f3a12
25,242,cd93bf4b-960f-430d-9cae-6c13156f3a12
26,243,cd93bf4b-960f-430d-9cae-6c13156f3a12
27,244,e57fb8dd-fc97-4390-bf5f-50f3cdb95703
28,245,cd93bf4b-960f-430d-9cae-6c13156f3a12
29,246,cd93bf4b-960f-430d-9cae-6c13156f3a12
30,247,cd93bf4b-960f-430d-9cae-6c13156f3a12
31,248,cd93bf4b-960f-430d-9cae-6c13156f3a12
32,249,cd93bf4b-960f-430d-9cae-6c13156f3a12
33,250,cd93bf4b-960f-430d-9cae-6c13156f3a12
34,251,d0a05092-ea61-46bf-8e34-c65c22be74c0
35,252,cd93bf4b-960f-430d-9cae-6c13156f3a12
36,254,cd93bf4b-960f-430d-9cae-6c13156f3a12
37,255,cd93bf4b-960f-430d-9cae-6c13156f3a12
38,256,6eb528a5-6b82-423d-af96-3ec7b3b51727
39,257,cd93bf4b-960f-430d-9cae-6c13156f3a12
40,258,cd93bf4b-960f-430d-9cae-6c13156f3a12
41,259,cd93bf4b-960f-430d-9cae-6c13156f3a12
42,260,cd93bf4b-960f-430d-9cae-6c13156f3a12
43,261,6eb528a5-6b82-423d-af96-3ec7b3b51727
44,262,b0f6aef5-9a4e-4441-8a8e-f6591f48dfbb
45,263,cd93bf4b-960f-430d-9cae-6c13156f3a12
46,264,b0f6aef5-9a4e-4441-8a8e-f6591f48dfbb
47,265,cd93bf4b-960f-430d-9cae-6c13156f3a12
48,267,cd93bf4b-960f-430d-9cae-6c13156f3a12
49,268,cd93bf4b-960f-430d-9cae-6c13156f3a12
50,269,cd93bf4b-960f-430d-9cae-6c13156f3a12
51,270,cd93bf4b-960f-430d-9cae-6c13156f3a12
52,271,cd93bf4b-960f-430d-9cae-6c13156f3a12
